village_code,village_name,subdistrict_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
178624,Banvadhia,937,152.0,27.0455305,82.6631969,27.0516801,82.66814,27.0379199,82.65679
178627,Cheruiya,937,121.0,27.0648805,82.6415919,27.0673501,82.64635,27.05817,82.63489
178628,Barahkoni,937,161.0,27.054571,82.6402414,27.06188,82.6430099,27.0485401,82.6318999
178636,Mailan Saheb Wajid,937,130.0,27.0656793,82.6010642,27.07139,82.6056299,27.0600899,82.5932798
178639,Jogia,937,200.0,27.0150195,82.667247,27.0235501,82.6749199,27.0100299,82.65503
178642,Bhaisahia Khurd Bujurg,937,288.0,27.0595728,82.6240329,27.0708401,82.6354999,27.0509999,82.61774
178643,Panan Kuiyan,937,128.0,27.0569037,82.6010642,27.0609701,82.6065399,27.0526501,82.5963401
178652,Patkhauli,937,121.0,26.0714817,82.3682429,26.07796,82.3756901,26.0679099,82.35535
178654,Manaurhi,937,171.0,27.0453445,82.6037668,27.05307,82.61002,27.0388699,82.5961599
178655,Parsa Shioraj,937,121.0,27.0392094,82.5983615,27.04557,82.60463,27.0358701,82.59113
178658,Bhiwanpar,937,205.0,27.0303176,82.6240329,27.0396001,82.63358,27.02217,82.6181299
